timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1553625236188,151,HTTP Request Scenario 2,200,OK,Thread Group 1-1,text,true,,313,3658466,1,1,http://localhost:8081/algorithm/NaiveBayes,151,0,2
1553625236340,142,HTTP Request Scenario 2,200,OK,Thread Group 1-1,text,true,,313,3658522,1,1,http://localhost:8081/algorithm/NaiveBayes,142,0,2
1553625236482,97,HTTP Request Scenario 2,200,OK,Thread Group 1-1,text,true,,313,3658458,1,1,http://localhost:8081/algorithm/NaiveBayes,97,0,1
1553625236580,123,HTTP Request Scenario 2,200,OK,Thread Group 1-1,text,true,,313,3658522,2,2,http://localhost:8081/algorithm/NaiveBayes,123,0,1
1553625236691,140,HTTP Request Scenario 2,200,OK,Thread Group 1-2,text,true,,313,3658538,2,2,http://localhost:8081/algorithm/NaiveBayes,140,0,1
1553625236704,164,HTTP Request Scenario 2,200,OK,Thread Group 1-1,text,true,,313,3658530,2,2,http://localhost:8081/algorithm/NaiveBayes,164,0,1
1553625236833,104,HTTP Request Scenario 2,200,OK,Thread Group 1-2,text,true,,313,3658522,1,1,http://localhost:8081/algorithm/NaiveBayes,104,0,0
1553625236938,91,HTTP Request Scenario 2,200,OK,Thread Group 1-2,text,true,,313,3658482,1,1,http://localhost:8081/algorithm/NaiveBayes,91,0,1
1553625237030,92,HTTP Request Scenario 2,200,OK,Thread Group 1-2,text,true,,313,3658474,1,1,http://localhost:8081/algorithm/NaiveBayes,92,0,0
1553625237124,85,HTTP Request Scenario 2,200,OK,Thread Group 1-2,text,true,,313,3658530,2,2,http://localhost:8081/algorithm/NaiveBayes,85,0,0
1553625237189,132,HTTP Request Scenario 2,200,OK,Thread Group 1-3,text,true,,313,3658474,1,1,http://localhost:8081/algorithm/NaiveBayes,132,0,1
1553625237322,229,HTTP Request Scenario 2,200,OK,Thread Group 1-3,text,true,,313,3658514,1,1,http://localhost:8081/algorithm/NaiveBayes,229,0,0
1553625237686,463,HTTP Request Scenario 2,200,OK,Thread Group 1-4,text,true,,313,3658506,2,2,http://localhost:8081/algorithm/NaiveBayes,463,0,1
1553625237551,618,HTTP Request Scenario 2,200,OK,Thread Group 1-3,text,true,,313,3658530,2,2,http://localhost:8081/algorithm/NaiveBayes,618,0,1
1553625238169,600,HTTP Request Scenario 2,200,OK,Thread Group 1-3,text,true,,313,3658498,4,4,http://localhost:8081/algorithm/NaiveBayes,600,0,1
1553625238185,803,HTTP Request Scenario 2,200,OK,Thread Group 1-5,text,true,,313,3658482,4,4,http://localhost:8081/algorithm/NaiveBayes,803,0,1
1553625238150,920,HTTP Request Scenario 2,200,OK,Thread Group 1-4,text,true,,313,3658514,4,4,http://localhost:8081/algorithm/NaiveBayes,920,0,1
1553625238686,559,HTTP Request Scenario 2,200,OK,Thread Group 1-6,text,true,,313,3658522,5,5,http://localhost:8081/algorithm/NaiveBayes,559,0,1
1553625238989,1456,HTTP Request Scenario 2,200,OK,Thread Group 1-5,text,true,,313,3658530,7,7,http://localhost:8081/algorithm/NaiveBayes,1456,0,0
1553625239071,1405,HTTP Request Scenario 2,200,OK,Thread Group 1-4,text,true,,313,3658514,7,7,http://localhost:8081/algorithm/NaiveBayes,1405,0,1
1553625239245,1232,HTTP Request Scenario 2,200,OK,Thread Group 1-6,text,true,,313,3658522,7,7,http://localhost:8081/algorithm/NaiveBayes,1232,0,1
1553625239184,1303,HTTP Request Scenario 2,200,OK,Thread Group 1-7,text,true,,313,3658466,7,7,http://localhost:8081/algorithm/NaiveBayes,1303,0,1
1553625239690,1210,HTTP Request Scenario 2,200,OK,Thread Group 1-8,text,true,,313,3658474,8,8,http://localhost:8081/algorithm/NaiveBayes,1210,0,1
1553625238770,2260,HTTP Request Scenario 2,200,OK,Thread Group 1-3,text,true,,313,3658538,8,8,http://localhost:8081/algorithm/NaiveBayes,2260,0,7
1553625240204,1581,HTTP Request Scenario 2,200,OK,Thread Group 1-9,text,true,,313,3658490,7,7,http://localhost:8081/algorithm/NaiveBayes,1580,0,2
1553625240488,1712,HTTP Request Scenario 2,200,OK,Thread Group 1-7,text,true,,313,3658514,7,7,http://localhost:8081/algorithm/NaiveBayes,1712,0,2
